directory_name,git_describe,git_current_tag,git_current_commit,github_url
turbo-darwin-arm64@latest,turbopack-240801.2-1005-gc0c234f090,,c0c234f090a66da463aad0651cac340ea077ff5b,https://github.com/vercel/turborepo
react@18.3.1,v18.3.1,v18.3.1,f1338f8080abd1386454a10bbf93d67bfe37ce85,https://github.com/facebook/react
@webassemblyjs-wasm-opt@1.11.1,v1.11.1,v1.11.1,3f07e2db2031afe0ce686630418c542938c1674b,https://github.com/xtuc/webassemblyjs
hermes-estree@0.15.0,hermes-2025-05-06-RNv0.80.0-4eb6132a5bf0450bf4c6c91987675381d7ac8bca-19-g0760c58ac,,0760c58acf668f58eb909f7b8efa2b7fc2ff10d1,https://github.com/facebook/hermes
utf-8-validate@5.0.5,v5.0.5,v5.0.5,d45089ad7c78cb7df09983c20ac77fbc92b21bcd,https://github.com/websockets/utf-8-validate
@azure-msal-browser@4.2.1,msal-angular-v4.0.12-13-g2a979a886,,2a979a886ff80b97e35e36fc8cd27eafdf3752ea,https://github.com/AzureAD/microsoft-authentication-library-for-js
vscode-textmate@4.4.0,v4.4.0,v4.4.0,8961b1554acbb649bdce0d236ab0fd78180447af,https://github.com/microsoft/vscode-textmate
drivelist@11.1.0,v11.1.0,v11.1.0,a4e7419de59894e7fc9ac5b622b7352bb9a92027,https://github.com/balena-io-modules/drivelist
cpu-features@0.0.5,v0.0.5,v0.0.5,772b6b35ccab946bc368ded1e6b6f1f389589902,https://github.com/mscdex/cpu-features
@azure-msal-common@15.4.0,msal-angular-v4.0.12-13-g2a979a886,,2a979a886ff80b97e35e36fc8cd27eafdf3752ea,https://github.com/AzureAD/microsoft-authentication-library-for-js
draco3d@1.5.7,1.5.7,1.5.7,8786740086a9f4d83f44aa83badfbea4dce7a1b5,https://github.com/google/draco
react-is@17.0.2,v17.0.2,v17.0.2,12adaffef7105e2714f82651ea51936c563fe15c,https://github.com/facebook/react
fsevents@latest,v2.3.3,v2.3.3,2db891e51aa0f2975c5eaaf6aa30f13d720a830a,https://github.com/fsevents/fsevents
@react-native-babel-preset@0.73.21,v0.54.0-rc.2-24195-ga4c20070689,,a4c20070689ee137891a9f6f8ecc92d0f56b13ef,
node-addon-api@4.3.0,v4.3.0,v4.3.0,133e13d0d51e5e4bc75295b9bad07d0483da178d,https://github.com/nodejs/node-addon-api
@webassemblyjs-floating-point-hex-parser@1.11.1,v1.11.1,v1.11.1,3f07e2db2031afe0ce686630418c542938c1674b,https://github.com/xtuc/webassemblyjs
@webassemblyjs-helper-wasm-section@1.12.1,v1.12.1,v1.12.1,67c75cf2da65e5588b5e81c10b0d7692d174760b,https://github.com/xtuc/webassemblyjs
keccak@3.0.4,v3.0.4,v3.0.4,a048e85d21b7d727ee298ba42b01ffd454222d23,https://github.com/cryptocoinjs/keccak
@trufflesuite-bigint-buffer@1.1.10,v1.1.5-22-gd972226,,d9722267883d4452e59ad064dbc94e8b8d016a85,https://github.com/trufflesuite/bigint-buffer
@jscpd-core@3.3.17,v3.3.17,v3.3.17,d536e882e1a80f3b2abaf0243b94c3080fe99939,https://github.com/kucherenko/jscpd
playwright@1.15.0,v1.15.0,v1.15.0,d379db5ae0c6d20f9026dfa06639d9b906f909e0,https://github.com/Microsoft/playwright
@cspell-dict-filetypes@3.0.11,@cspell/dict-cspell-bundle@2.0.4,@cspell/dict-cspell-bundle@2.0.4,8fa16dbdc0421ae65170dfc5fa9f465d9d0c66af,https://github.com/streetsidesoftware/cspell-dicts
@aws-amplify-storage@5.9.14,@aws-amplify/adapter-nextjs@1.6.3-2-g936c0f79f,,936c0f79f061a14b239695f3aa2222d4fb9ac028,
@parcel-watcher@latest,v2.5.1-1-g119f1ff,,119f1ff04bb41c2369929e37274900c61b0a9f49,https://github.com/parcel-bundler/watcher
@parcel-watcher-darwin-x64@latest,v2.5.1-1-g119f1ff,,119f1ff04bb41c2369929e37274900c61b0a9f49,https://github.com/parcel-bundler/watcher
@cspell-dict-en-gb@1.1.33,@cspell/dict-cspell-bundle@2.0.4,@cspell/dict-cspell-bundle@2.0.4,8fa16dbdc0421ae65170dfc5fa9f465d9d0c66af,https://github.com/streetsidesoftware/cspell-dicts
canvas@latest,v3.1.0-8-g1234a86,,1234a86f65b2318906334ce0790cd12401c67a25,https://github.com/Automattic/node-canvas
httpsnippet@3.0.1,3.0.1,3.0.1,a0c0933cf51671ff9d9a56c66e9df627c2b98205,https://github.com/Kong/httpsnippet
windows-foreground-love@latest,0.5.0-2-g856e24c,,856e24cf484121d71fa9913ce07eab8ec0a34ad0,https://github.com/the-ress/node-windows-foreground-love
@react-native-gradle-plugin@0.73.4,v0.73.4,v0.73.4,36a4a2450144228e8a3ccc63541428751a7e4555,
scheduler@0.24.0-canary-efb381bbf-20230505,v19.1.0-262-gb07717d857,,b07717d857422af5fb1c2ee0930e5a2a62df2b0e,https://github.com/facebook/react
native-watchdog@latest,v1.4.1-6-g1c57575,,1c57575e298ab256bc07ecb8191e5b4458d749e6,https://github.com/Microsoft/node-native-watchdog
turbo@1.1.2,v1.1.2,v1.1.2,52906aba7316bfeabf28a5ab9ceccb739b793fb3,https://github.com/vercel/turborepo
react-dom@15.6.2,v15.6.2,v15.6.2,ffbc2db0e7860ee1a96511578235dec7eaccc8d3,https://github.com/facebook/react
@serialport-parser-byte-length@13.0.0,v13.0.0,v13.0.0,701ffd844f0950164da4dda4dca57e94891177a9,https://github.com/serialport/node-serialport
scheduler@0.21.0,v19.1.0-263-g5717f1933f,,5717f1933f2e8b10406fde1043c3047cbfbddc82,https://github.com/facebook/react
ssh2@0.8.2,v0.8.2,v0.8.2,706906a026df10a3b0505b54572b7022627c26d0,https://github.com/mscdex/ssh2
@serialport-parser-ready@10.3.0,v10.3.0,v10.3.0,ceba41c8f89d911de210f2513aaae85fff3ab457,https://github.com/serialport/node-serialport
