timestamp,publisher,name,version,status,error,repo_url
2025-05-05T13:12:15.762930,swyphcosmo,spellchecker,1.4.0,Success,,https://github.com/swyphcosmo/vscode-spellchecker.git
2025-05-05T13:12:12.345229,msjsdiag,debugger-for-chrome-nightly,2020.2.15300,Success,,https://github.com/Microsoft/vscode-chrome-debug
2025-05-05T13:12:17.117904,philnash,ngrok-for-vscode,1.10.1,Success,,https://github.com/philnash/ngrok-for-vscode.git
2025-05-05T13:12:16.393395,kortina,vscode-markdown-notes,0.0.27,Success,,https://github.com/kortina/vscode-markdown-notes.git
2025-05-05T13:12:17.599565,swellaby,python-pack,0.1.15,Success,,https://github.com/swellaby/vscode-python-pack.git
2025-05-05T13:12:18.285318,miclo,sort-typescript-imports,1.4.1,Success,,https://github.com/MLoughry/sort-typescript-imports.git
2025-05-05T13:12:18.435275,ricardo-emerson,java-sysout,1.3.0,Success,,https://github.com/ricardoemerson/java-sysout.git
2025-05-05T13:12:18.358931,schroeter,prettier-vscode-space-parenthesis,0.17.101,Success,,https://github.com/Skywalker13/prettier-vscode-space-parenthesis.git
2025-05-05T13:12:19.246640,SanaAjani,taskrunnercode,0.3.0,Success,,https://github.com/sana-ajani/taskrunner-code.git
2025-05-05T13:12:19.203977,hbenl,vscode-jasmine-test-adapter,1.8.2,Success,,https://github.com/hbenl/vscode-jasmine-test-adapter.git
2025-05-05T13:12:20.130805,circleci,circleci,2.9.0,Failed,No GitHub URL found in properties,
2025-05-05T13:12:19.259842,mjmlio,vscode-mjml,2.1.0,Success,,https://github.com/mjmlio/vscode-mjml.git
2025-05-05T13:12:13.979052,nabsolutions,nab-al-tools,1.37.505020757,Success,,https://github.com/jwikman/nab-al-tools.git
2025-05-05T13:12:16.383488,tetradresearch,vscode-h2o,0.2.15,Success,,https://github.com/yamaton/vscode-h2o.git
2025-05-05T13:12:20.741009,lakshits11,best-themes-redefined,0.4.6,Failed,No GitHub URL found in properties,
2025-05-05T13:12:20.114925,Grafana,vscode-jsonnet,0.7.2,Success,,https://github.com/grafana/vscode-jsonnet
2025-05-05T13:12:20.272607,robertoachar,vscode-essentials-snippets,2.0.0,Success,,https://github.com/robertoachar/vscode-essentials-snippets.git
2025-05-05T13:12:20.741082,MrChetan,laravel-goto-config,2.0.0,Success,,https://github.com/mrchetan/laravel-goto-config.git
2025-05-05T13:12:20.738878,mkloubert,vs-rest-api,3.0.1,Success,,https://github.com/mkloubert/vs-rest-api
2025-05-05T13:12:20.130842,StackBuild,bazel-stack-vscode,1.9.8,Success,,https://github.com/stackb/bazel-stack-vscode.git
2025-05-05T13:12:20.917450,argutec,argutec-azure-repos,1.2007.15,Success,,https://github.com/argutec-sro/azure-repos-vscode.git
2025-05-05T13:12:21.467110,anoff,theme-monokai-light,1.2.0,Success,,https://github.com/anoff/vscode-monokai-light.git
2025-05-05T13:12:21.096875,hyesun,py-paste-indent,0.3.0,Success,,https://github.com/sunhs/py-paste-indent.git
2025-05-05T13:12:22.158954,CodeYard,flask-snippets,1.1.0,Success,,https://github.com/DevHyperCoder/Flask-Snippets.git
2025-05-05T13:12:22.071738,bitwisecook,tcl,0.4.3,Success,,https://github.com/bitwisecook/tcl.git
2025-05-05T13:12:22.275924,TimonVS,ReactSnippetsStandard,1.1.0,Success,,https://github.com/TimonVS/vscode-react-standard
2025-05-05T13:12:21.655849,jeppeandersen,vscode-kafka,0.15.0,Success,,https://github.com/jlandersen/vscode-kafka
2025-05-05T13:12:22.849471,bestvow,css-compressor,0.0.2,Success,,https://github.com/bestvow/css-compressor.git
2025-05-05T13:12:23.068611,pbkit,vscode-pbkit,0.0.8,Success,,https://github.com/pbkit/vscode-pbkit.git
2025-05-05T13:12:23.033486,msnilshartmann,blue-light,0.6.4,Success,,https://github.com/nilshartmann/vscode-blue-light-theme.git
2025-05-05T13:12:23.598513,mikemcbride,electron-highlighter,1.3.0,Success,,https://github.com/mikemcbride/vscode-electron-highlighter.git
2025-05-05T13:12:22.933334,TheQtCompany,qt-core,1.5.1,Success,,https://github.com/qt-labs/vscodeext.git
2025-05-05T13:12:24.625536,Arm,virtual-hardware,0.6.3,Success,,https://github.com/ARM-software/vscode-virtual-hardware.git
2025-05-05T13:12:23.987987,DominicVonk,parameter-hints,0.2.7,Success,,https://github.com/DominicVonk/VSCode-Parameter-Hints.git
2025-05-05T13:12:25.120885,origamid,origamid-next,2.0.10,Success,,https://github.com/origamid/origamid-next-vscode.git
2025-05-05T13:12:25.868130,freakypie,code-python-isort,0.0.3,Failed,No GitHub URL found in properties,
2025-05-05T13:12:21.954033,BlockceptionLtd,blockceptionvscodeminecraftbedrockdevelopmentextension,8.0.32,Success,,https://github.com/Blockception/VSCode-Bedrock-Development-Extension.git
2025-05-05T13:12:25.321138,FelschR,extbundles-csharp,2.0.1,Success,,https://github.com/FelschR/vscode-csharp-essentials
2025-05-05T13:12:25.347033,Avetis,tokyo-night,1.0.2,Success,,https://github.com/AvetisDN/tokyo-dark-theme.git
2025-05-05T13:12:25.521439,amodio,amethyst-theme,2025.1.1516,Success,,https://github.com/eamodio/vscode-amethyst-theme.git
2025-05-05T13:12:25.868210,Arm,keil-studio-pack,1.18.4,Success,,https://github.com/ARM-software/vscode-keil-studio-pack.git
2025-05-05T13:12:25.963407,dnlytras,nord-wave,0.3.5,Success,,https://github.com/DimitrisNL/nord-wave.git
2025-05-05T13:12:25.943360,idleberg,applescript,0.27.1,Success,,https://github.com/idleberg/vscode-applescript.git
2025-05-05T13:12:26.133752,CoderFoundry,bootstrap-5-snippets-by-coder-foundry,1.2.1,Success,,https://github.com/CoderFoundry/bootstrap-5-snippets-by-coder-foundry.git
2025-05-05T13:12:26.653337,Gydunhn,typescript-essentials,1.1.3,Success,,https://github.com/Gydunhn/Typescript-Essentials.git
2025-05-05T13:12:26.691446,vshaxe,hxcpp-debugger,1.2.4,Success,,https://github.com/vshaxe/hxcpp-debugger.git
2025-05-05T13:12:26.320519,HanWang,android-adb-wlan,0.0.10,Success,,https://github.com/deskbtm/android-adb-wlan.git
2025-05-05T13:12:27.088107,paulosilva,vsc-octave-debugger,0.5.13,Success,,https://github.com/paulo-fernando-silva/vscOctaveDebugger.git
2025-05-05T13:12:27.332491,aslamanver,jar-builder,1.1.1,Success,,https://github.com/aslamanver/jar-builder
2025-05-05T13:12:27.443888,ashhitch,vs-code-css-comments,1.0.5,Success,,https://github.com/ashhitch/vs-code-css-comments.git
2025-05-05T13:12:27.455092,lihuiwang,vue-alias-skip,0.0.25,Success,,https://github.com/seolhw/alias-skip.git
2025-05-05T13:12:28.043333,nickdodd79,gulptasks,1.3.1,Success,,https://github.com/nickdodd79/vscode-gulptasks
2025-05-05T13:12:28.108629,dlhtx,uniapp-snippet,0.0.2,Success,,https://github.com/DLHTX/vscode-uniapp-snippets
2025-05-05T13:12:28.136358,adamwalzer,scss-lint,0.1.11,Success,,https://github.com/adamwalzer/vscode-scss-lint.git
2025-05-05T13:12:28.868904,ghgofort,neon-vommit,1.2.2,Success,,https://github.com/ghgofort/vscode-neon-vommit-theme
